Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
P2000 | Obsidian (Well-Worn),Skinout,0.797,Buff,2.01715248,1.530931593475533,1.2201524799999999
P90 | Off World (Field-Tested),Skinout,0.078,Buff,0.15226428000000003,0.9521061538461543,0.07426428000000003
StatTrak™ Swap Tool,Skinout,0.289,Buff,0.558768,0.9334532871972321,0.26976800000000006
StatTrak™ M4A4 | Poly Mag (Well-Worn),Skinout,0.098,Buff,0.18439344000000002,0.8815657142857144,0.08639344000000002
P250 | Verdigris (Battle-Scarred),Skinout,0.078,Buff,0.14108892,0.8088323076923077,0.06308892
MP7 | Mischief (Field-Tested),Skinout,0.078,Buff,0.14108892,0.8088323076923077,0.06308892
MAG-7 | Popdog (Field-Tested),Skinout,0.098,Buff,0.16902732,0.7247685714285714,0.07102732
P250 | Nevermore (Well-Worn),Skinout,0.36,Buff,0.5992786800000001,0.6646630000000002,0.23927868000000008
StatTrak™ MAC-10 | Carnivore (Well-Worn),Skinout,0.085,Buff,0.13410432,0.5776978823529411,0.04910431999999999
P250 | Verdigris (Field-Tested),Skinout,0.079,Buff,0.12013512000000001,0.5206977215189875,0.04113512000000001
StatTrak™ MP7 | Mischief (Well-Worn),Skinout,0.114,Buff,0.17321808000000002,0.5194568421052633,0.05921808000000002
P2000 | Acid Etched (Battle-Scarred),Skinout,0.181,Buff,0.2654148,0.46638011049723765,0.08441480000000001
StatTrak™ Glock-18 | Oxide Blaze (Field-Tested),Skinout,0.078,Buff,0.11175360000000001,0.4327384615384616,0.03375360000000001
SG 553 | Lush Ruins (Battle-Scarred),Skinout,0.231,Buff,0.32967312,0.4271563636363635,0.09867311999999998
StatTrak™ MP5-SD | Necro Jr. (Well-Worn),Skinout,0.07,Buff,0.09918132,0.4168759999999999,0.029181319999999997
Sticker | FASHR (Holo) | Paris 2023,Skinout,0.775,Buff,1.0951852800000001,0.4131422967741937,0.3201852800000001
P250 | Mint Kimono (Battle-Scarred),Skinout,1.972,Buff,2.7435508800000004,0.3912529817444221,0.7715508800000004
AUG | Aristocrat (Well-Worn),Skinout,0.354,Buff,0.49031892,0.3850816949152543,0.13631892
SG 553 | Cyberforce (Minimal Wear),Skinout,0.07,Buff,0.09638748,0.37696399999999985,0.02638747999999999
R8 Revolver | Junk Yard (Factory New),Skinout,0.276,Buff,0.37996224000000006,0.37667478260869575,0.10396224000000004
P90 | Virus (Field-Tested),Skinout,0.922,Buff,1.2642126000000002,0.37116334056399153,0.3422126000000002
StatTrak™ Negev | Bratatat (Well-Worn),Skinout,0.812,Buff,1.1133452400000001,0.37111482758620695,0.30134524000000007
StatTrak™ Tec-9 | Ice Cap (Well-Worn),Skinout,0.362,Buff,0.49590660000000003,0.36990773480663,0.13390660000000004
StatTrak™ Sawed-Off | Origami (Field-Tested),Skinout,0.124,Buff,0.16902732,0.3631235483870969,0.04502732000000001
FAMAS | Macabre (Field-Tested),Skinout,1.67,Buff,2.2630104,0.3550960479041918,0.5930104000000003
StatTrak™ MP9 | Modest Threat (Field-Tested),Skinout,0.088,Buff,0.1187382,0.3492977272727274,0.030738200000000007
StatTrak™ XM1014 | Seasons (Well-Worn),Skinout,1.98,Buff,2.66252952,0.34471187878787884,0.6825295200000001
AWP | Capillary (Battle-Scarred),Skinout,0.078,Buff,0.104769,0.3431923076923077,0.026769
