name,Buy Price,Unlock Time,Buy Market,Sell Price,Sell Market,Profit,Relative Profit,Time Efficiency
Sawed-Off | Mosaico (Field-Tested),4.49,0,Skinport,1852.5,Buff,1848.01,411.58351893095767,38640.89742580459
Souvenir Tec-9 | Nuclear Threat (Well-Worn),134.7,0,Skinport,28165.8,Buff,28031.1,208.10022271714922,19537.175300863655
★ StatTrak™ Shadow Daggers | Scorched (Battle-Scarred),96.62,0,Skinport,19500.0,Buff,19403.38,200.82156903332643,18853.829886243857
MAG-7 | Sand Dune (Well-Worn),1.38,0,Skinport,195.0,Buff,193.62,140.30434782608697,13172.261918611179
Operation Hydra Case,0.687,8,Skinout,92.28375,Buff,91.59675,133.32860262008734,11906.890996292717
Sticker Capsule 2,0.723,8,Skinout,95.05274999999999,Buff,94.32974999999999,130.46991701244812,11651.59650393371
MP7 | Olive Plaid (Well-Worn),3.43,0,Skinport,387.06525,Buff,383.63525,111.84701166180757,10500.587866667376
P250 | Mint Kimono (Well-Worn),3.2,0,Skinport,276.89025,Buff,273.69025,85.52820312499999,8029.68625310989
XM1014 | Oxide Blaze (Well-Worn),0.04,0,Skinport,3.393,Buff,3.3529999999999998,83.82499999999999,7869.783598554193
Nova | Wood Fired (Well-Worn),0.05,0,Skinport,3.8512500000000003,Buff,3.8012500000000005,76.025,7137.492371966389
SCAR-20 | Assault (Well-Worn),0.09,0,Skinport,6.24975,Buff,6.15975,68.44166666666666,6425.542568339357
Souvenir PP-Bizon | Breaker Box (Well-Worn),0.924,0,Skinout,63.375,Buff,62.451,67.58766233766234,6345.365660955014
R8 Revolver | Bone Forged (Well-Worn),0.05,0,Skinport,3.34425,Buff,3.2942500000000003,65.885,6185.513777402244
M249 | Jungle (Factory New),9.7,0,Skinport,534.1049999999999,Buff,524.4049999999999,54.06237113402061,5075.564111535522
Sealed Graffiti | Rly (Tiger Orange),0.05,0,Skinport,2.73,Buff,2.68,53.6,5032.155095526451
Sealed Graffiti | Dead Now (Dust Brown),0.08,0,Skinport,4.35825,Buff,4.27825,53.478125,5020.713045111017
StatTrak™ Desert Eagle | Heirloom (Well-Worn),27.31,0,Skinport,1462.5,Buff,1435.19,52.55181252288539,4933.747596384113
Sealed Graffiti | 1G (Cash Green),0.04,0,Skinport,1.92075,Buff,1.88075,47.01875,4414.284373092991
P250 | Exchanger (Well-Worn),0.123,5,Skinout,5.06025,Buff,4.93725,40.140243902439025,3651.702471064848
PP-Bizon | Modern Hunter (Battle-Scarred),7.81,0,Skinport,300.0075,Buff,292.1975,37.41325224071703,3512.486714614564
Souvenir AUG | Random Access (Battle-Scarred),38.17,0,Skinport,1462.0125,Buff,1423.8425,37.302659156405554,3502.1038498244898
P250 | Nuclear Threat (Battle-Scarred),16.606,2,Skinout,633.6524999999999,Buff,617.0464999999999,37.158045284836795,3444.897768007564
MAG-7 | Hazard (Battle-Scarred),8.06,0,Skinport,292.5,Buff,284.44,35.29032258064516,3313.1786678538383
StatTrak™ G3SG1 | Flux (Well-Worn),13.161,6,Skinout,487.5,Buff,474.339,36.04125826304992,3258.4970447665983
Sticker | Techno4K (Holo) | Antwerp 2022,0.278,0,Skinout,9.5745,Buff,9.2965,33.440647482014384,3139.524713140345
G3SG1 | Arctic Camo (Well-Worn),5.81,0,Skinport,183.29025000000001,Buff,177.48025,30.547375215146303,2867.894213504793
Sticker | tarik (Foil) | Cologne 2016,24.81,0,Skinport,779.025,Buff,754.215,30.39963724304716,2854.024056991706
StatTrak™ MP9 | Hypnotic (Minimal Wear),39.72,0,Skinport,1169.99025,Buff,1130.27025,28.455947885196377,2671.543715457576
Souvenir Dual Berettas | Cobalt Quartz (Minimal Wear),516.83,0,Skinport,14625.0,Buff,14108.17,27.297505949732017,2562.7851429124553
M249 | Blizzard Marbleized (Battle-Scarred),5.24,0,Skinport,145.34324999999998,Buff,140.10324999999997,26.737261450381673,2510.1874337306176
Sealed Graffiti | Silver Bullet (Monarch Blue),0.04,0,Skinport,1.092,Buff,1.052,26.3,2469.135802469136
Sealed Graffiti | Thoughtfull (Wire Blue),0.07,0,Skinport,1.8524999999999998,Buff,1.7824999999999998,25.464285714285708,2390.6760281918705
Sealed Graffiti | Little EZ (Frog Green),0.07,0,Skinport,1.8135000000000001,Buff,1.7435,24.907142857142855,2338.3695120070274
StatTrak™ MAG-7 | Memento (Field-Tested),7.73,0,Skinport,195.0,Buff,187.27,24.22639068564036,2274.45812192089
Sealed Graffiti | Recoil PP-Bizon (Desert Amber),3.28,0,Skinport,75.699,Buff,72.419,22.078963414634146,2072.8501539345766
P250 | Facets (Field-Tested),3.73,0,Skinport,85.77074999999999,Buff,82.04074999999999,21.99483914209115,2064.9522735850487
FAMAS | Spitfire (Well-Worn),14.67,0,Skinport,336.375,Buff,321.705,21.929447852760735,2058.813111088648
Sealed Graffiti | BEEP (Brick Red),0.04,0,Skinport,0.897,Buff,0.857,21.425,2011.4537858517579
★ StatTrak™ Gut Knife | Crimson Web (Well-Worn),184.62,0,Skinport,3900.0,Buff,3715.38,20.124471888202795,1889.3556671081815
P2000 | Coach Class (Battle-Scarred),6.98,0,Skinport,146.25,Buff,139.27,19.95272206303725,1873.2311940137304
Sealed Graffiti | Okay (Frog Green),0.07,0,Skinport,1.4625,Buff,1.3924999999999998,19.89285714285714,1867.6108663434388
MAG-7 | Hazard (Factory New),98.12,0,Skinport,1948.05,Buff,1849.9299999999998,18.853750509580102,1770.0559085180587
Sealed Graffiti | Denied (Battle Green),0.07,0,Skinport,1.37475,Buff,1.3047499999999999,18.63928571428571,1749.9212049275413
StatTrak™ G3SG1 | Keeping Tabs (Well-Worn),0.44,0,Skinport,8.57025,Buff,8.13025,18.477840909090908,1734.7642030785248
StatTrak™ Dual Berettas | Marina (Battle-Scarred),15.01,0,Skinport,291.36899999999997,Buff,276.359,18.41165889407062,1728.5508044942605
SG 553 | Gator Mesh (Well-Worn),7.54,0,Skinport,146.25,Buff,138.71,18.396551724137932,1727.1324906480713
Sealed Graffiti | Little EZ (War Pig Pink),0.51,0,Skinport,9.6525,Buff,9.1425,17.926470588235293,1682.9996327498748
Sealed Graffiti | OMG (Monarch Blue),0.07,0,Skinport,1.3065,Buff,1.2365,17.66428571428571,1658.384801604066
MP7 | Groundwater (Well-Worn),2.29,0,Skinport,42.50025,Buff,40.21025,17.55906113537118,1648.5059508398986
SSG 08 | Sea Calico (Battle-Scarred),1331.11,0,Skinport,24375.0,Buff,23043.89,17.311784901322955,1625.2907948479515
MP7 | Powercore (Well-Worn),0.52,0,Skinport,9.50625,Buff,8.98625,17.28125,1622.4240717269868
StatTrak™ XM1014 | Incinegator (Well-Worn),4.7,0,Skinport,85.7025,Buff,81.0025,17.234574468085107,1618.0420098657567
Sealed Graffiti | 200 IQ (Monster Purple),0.07,0,Skinport,1.23825,Buff,1.16825,16.689285714285713,1566.8483982805908
Sealed Graffiti | Little Crown (Wire Blue),0.04,0,Skinport,0.702,Buff,0.6619999999999999,16.549999999999997,1553.77176923438
Souvenir MP7 | Army Recon (Well-Worn),11.25,0,Skinport,194.025,Buff,182.775,16.246666666666666,1525.2937770892988
Sealed Graffiti | Smooch (Tiger Orange),0.07,0,Skinport,1.1895,Buff,1.1195,15.99285714285714,1501.4652530495366
Sticker | hazed | MLG Columbus 2016,3.42,0,Skinport,57.836999999999996,Buff,54.416999999999994,15.911403508771928,1493.8181015605246
Souvenir Nova | Army Sheen (Factory New),0.03,0,Skinport,0.507,Buff,0.477,15.9,1492.747500352063
Sticker | Calyx (Gold) | Boston 2018,327.74,0,Skinport,5536.05,Buff,5208.31,15.891590895221823,1491.958024242766
Sealed Graffiti | Uh Oh (Jungle Green),0.04,0,Skinport,0.663,Buff,0.623,15.575,1462.2353659109044
